,Country,Region,Happiness Score,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Dystopia Residual,Country Code,2016_lifeexp,NHLY,2016_co2,2016_ch4,2016_n2o,2016_pop,2016_extcostratio,2016_llpp_who,PCEC,ERHNI,Year
0,Denmark,Western Europe,7.526,1.44178,1.16374,0.79504,0.57941,0.44453,0.36171,2.73939,DNK,80.85365854,20.42363415,35380,7170,5080,5728010,2.054712955,0.23,1.7595,16.8083667,2016
1,Switzerland,Western Europe,7.509,1.52733,1.14524,0.86303,0.58557,0.41203,0.28083,2.69463,CHE,83.60243902,20.97585195,39610,4860,2190,8373338,0.655049685,0.44999999,3.442499924,18.72084346,2016
2,Iceland,Western Europe,7.501,1.42666,1.18326,0.86733,0.56624,0.14975,0.47678,2.83137,ISL,82.20487805,20.55944,2070,550,400,335439,2.742364816,0,0,20.55944,2016
3,Norway,Western Europe,7.498,1.57744,1.1269,0.79579,0.59609,0.35776,0.37895,2.66465,NOR,82.40731707,20.5853478,37950,4990,3220,5234519,1.456945328,0.039999999,0.305999992,20.13952255,2016
4,Finland,Western Europe,7.413,1.40598,1.13464,0.81091,0.57104,0.41004,0.25492,2.82596,FIN,81.42926829,19.64888244,45710,4470,4650,5495303,1.923177773,0.01,0.076499998,19.50175934,2016
5,Canada,North America,7.404,1.44015,1.0961,0.8276,0.5737,0.31329,0.44834,2.70485,CAN,81.9,19.68876,550480,90490,40990,36109487,2.805875253,0.1,0.765,17.54226543,2016
6,Netherlands,Western Europe,7.339,1.46468,1.02912,0.81231,0.55211,0.29927,0.47416,2.70749,NLD,81.56097561,19.0771122,158270,18830,8290,17030314,1.22599864,0.50999999,3.901499924,14.2938786,2016
7,New Zealand,Australia and New Zealand,7.334,1.36066,1.17278,0.83096,0.58147,0.41904,0.49401,2.47553,NZL,81.61243902,19.04834327,31180,32810,14970,4714100,7.601430597,0,0,19.04834327,2016
8,Australia,Australia and New Zealand,7.313,1.44443,1.10476,0.8512,0.56837,0.32331,0.47407,2.5465,AUS,82.44878049,19.07040293,383960,118280,57390,24190907,5.708327841,0,0,19.07040293,2016
9,Sweden,Western Europe,7.291,1.45181,1.08764,0.83121,0.58218,0.40867,0.38254,2.54734,SWE,82.30731707,18.85660634,38790,4770,4960,9923085,1.129352762,0.039999999,0.305999992,18.5110244,2016
10,Israel,Middle East and Northern Africa,7.267,1.33766,0.99537,0.84917,0.36432,0.08728,0.32288,3.31029,ISR,82.40731707,18.68173878,65260,11730,2260,8546000,0.791692231,0.55000001,4.207500077,15.35069366,2016
11,Austria,Western Europe,7.119,1.45038,1.08383,0.80565,0.54355,0.21348,0.32865,2.69343,AUT,81.64146341,17.2998261,63390,6800,3700,8736668,1.035309447,0.63999999,4.895999924,12.23095113,2016
12,United States,North America,7.104,1.50796,1.04782,0.779,0.48163,0.14868,0.41077,2.72782,USA,78.53902439,16.52461073,4888640,609200,248510,323071755,1.959745397,0.18000001,1.377000077,13.82604117,2016
13,Costa Rica,Latin America and Caribbean,7.087,1.06879,1.02152,0.76146,0.55225,0.10547,0.22553,3.35168,CRI,79.738,16.6413206,8080,4810,1960,4899336,0.977802965,0.63,4.8195,11.92879921,2016
14,Germany,Western Europe,6.994,1.44787,1.09774,0.81487,0.53466,0.28551,0.30452,2.50931,DEU,80.9902439,16.14945463,747150,55520,35600,82348669,1.051088354,0.55000001,4.207500077,11.72700031,2016
15,Brazil,Latin America and Caribbean,6.952,1.08754,1.03938,0.61415,0.40425,0.14166,0.15776,3.50733,BRA,75.23,14.684896,441910,424800,176350,206163056,2.076051368,0.55000001,4.207500077,5.94990971,2016
16,Belgium,Western Europe,6.929,1.42539,1.05249,0.81959,0.51354,0.26248,0.2424,2.61355,BEL,81.43902439,15.7095878,94320,8450,4490,11331422,0.981386323,0.56,4.284,11.5053288,2016
17,Ireland,Western Europe,6.907,1.48341,1.16157,0.81455,0.54008,0.29754,0.44963,2.15988,IRL,81.65365854,15.57135268,38710,16490,9420,4755335,4.645942778,0.02,0.153,14.86052344,2016
18,Luxembourg,Western Europe,6.871,1.69752,1.03999,0.84542,0.5487,0.35329,0.27571,2.11055,LUX,82.68536585,15.47043195,8860,550,300,582014,1.302492252,0.5,3.825,10.48839909,2016
19,Mexico,Latin America and Caribbean,6.778,1.11508,0.7146,0.71143,0.37709,0.18355,0.11735,3.55906,MEX,74.917,13.3202426,479250,141710,42590,123333379,0.902819688,1.1,8.415,5.723014923,2016
20,Singapore,Southeastern Asia,6.739,1.64555,0.86758,0.94719,0.4877,0.46987,0.32706,1.99375,SGP,82.84634146,14.40697878,46160,3940,8910,5607283,3.44629814,0.81,6.1965,-6.948007647,2016
21,United Kingdom,Western Europe,6.725,1.40283,1.08672,0.80991,0.50036,0.27399,0.50156,2.14999,GBR,81.15609756,13.99942683,378890,52050,28280,65611593,1.043093315,0.36000001,2.754000077,11.12674776,2016
22,Chile,Latin America and Caribbean,6.705,1.2167,0.90587,0.81883,0.37789,0.11451,0.31595,2.95505,CHL,79.779,13.6023195,86160,13000,6300,18209072,0.848764683,1.28,9.792,5.291215728,2016
23,Panama,Latin America and Caribbean,6.701,1.18306,0.98912,0.70835,0.48927,0.08423,0.2418,3.00559,PAN,77.964,13.2616764,10770,5230,1300,4037073,0.866942442,0.34,2.601,11.00675911,2016
24,Argentina,Latin America and Caribbean,6.65,1.15137,1.06612,0.69711,0.42284,0.07296,0.10989,3.12985,ARG,76.221,12.576465,184280,115580,46380,43590368,2.605200524,0.51999998,3.977999847,2.212977714,2016
25,Czech Republic,Central and Eastern Europe,6.596,1.30915,1.00793,0.76376,0.41418,0.03986,0.09929,2.96211,CZE,79.02682927,12.61268195,102860,12440,5600,10566332,1.328534853,1,7.65,2.449390328,2016
26,United Arab Emirates,Middle East and Northern Africa,6.573,1.57352,0.87114,0.72993,0.56215,0.35561,0.26591,2.21507,ARE,77.47,12.186031,199460,50680,6890,9360975,2.42755498,1.34,10.251,-12.6988351,2016
27,Uruguay,Latin America and Caribbean,6.545,1.18157,1.03143,0.72183,0.54388,0.21394,0.18056,2.67139,URY,77.498,11.973441,6530,21690,7990,3424139,5.737115692,0.23,1.7595,1.87898594,2016
28,Malta,Western Europe,6.488,1.30782,1.09879,0.80315,0.54994,0.17554,0.56237,1.99032,MLT,82.45365854,12.26910439,1350,220,50,455356,0.315165166,0.07,0.5355,12.10033344,2016
29,Colombia,Latin America and Caribbean,6.481,1.03032,1.02169,0.59659,0.44735,0.05399,0.15626,3.17471,COL,76.732,11.3640092,83760,71920,19890,48175048,1.076702386,1.04,7.956,2.797765017,2016
30,France,Western Europe,6.478,1.39488,1.00508,0.83795,0.46562,0.17808,0.1216,2.4744,FRA,82.57317073,12.20431463,312710,59940,37550,66724104,1.323553194,0.41999999,3.212999924,7.951738323,2016
31,Thailand,Southeastern Asia,6.474,1.0893,1.04477,0.64915,0.49553,0.02833,0.58696,2.5796,THA,76.403,11.2618022,260720,76800,19120,68971313,0.756002837,1.78,13.617,0.967311564,2016
32,Saudi Arabia,Middle East and Northern Africa,6.379,1.48953,0.84829,0.59267,0.37904,0.30008,0.15457,2.61482,SAU,74.761,10.3095419,556740,42570,5810,32443443,0.669970153,1.87,14.3055,0.725283882,2016
33,Qatar,Middle East and Northern Africa,6.375,1.82427,0.87964,0.71723,0.56679,0.48049,0.32388,1.58224,QAT,79.868,10.98185,85280,7890,920,2654379,1.35019597,2.49,19.0485,-14.73735793,2016
34,Spain,Western Europe,6.361,1.34253,1.12945,0.87896,0.37545,0.06137,0.17665,2.39663,ESP,83.32926829,11.34111341,247030,39260,19850,46484062,1.038939858,0.18000001,1.377000077,9.91049315,2016
35,Algeria,Middle East and Northern Africa,6.355,1.05266,0.83309,0.61804,0.21006,0.16157,0.07044,3.40904,DZA,76.298,10.338379,143350,49400,11890,40551398,0.802197884,0.050000001,0.382500008,10.0315383,2016
36,Guatemala,Latin America and Caribbean,6.324,0.83454,0.87119,0.54039,0.50379,0.08701,0.28808,3.19863,GTM,73.541,9.7368284,17460,11540,4930,15827690,0.755146993,2.1600001,16.52400077,-2.741221083,2016
37,Suriname,Latin America and Caribbean,6.269,1.09686,0.77866,0.50933,0.52234,0.12692,0.16665,3.06852,SUR,71.358,9.0553302,2310,1400,270,564883,1.365658668,0.039999999,0.305999992,8.637438658,2016
