,Country,Region,Happiness Score,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Dystopia Residual,Country Code,2016_lifeexp,NHLY,2016_co2,2016_ch4,2016_n2o,2016_pop,2016_extcostratio,2016_llpp_who,PCEC,ERHNI
0,Denmark,Western Europe,7.526,1.44178,1.16374,0.79504,0.57941,0.44453,0.36171,2.73939,DNK,80.8536585365854,20.42363414634147,35380.0,7170.0,5080.0,5728010.0,2.054712954793766,0.23,1.7595000000000003,16.80836670238184
1,Switzerland,Western Europe,7.509,1.52733,1.14524,0.86303,0.58557,0.41203,0.28083,2.69463,CHE,83.6024390243903,20.975851951219532,39610.0,4860.0,2190.0,8373338.0,0.6550496852601319,0.44999999,3.4424999235000002,18.72084345982283
2,Iceland,Western Europe,7.501,1.42666,1.18326,0.86733,0.56624,0.14975,0.47678,2.83137,ISL,82.2048780487805,20.559440000000006,2070.0,550.0,400.0,335439.0,2.742364816066837,0.0,0.0,20.559440000000006
3,Norway,Western Europe,7.498,1.57744,1.1269,0.79579,0.59609,0.35776,0.37895,2.66465,NOR,82.4073170731707,20.585347804878044,37950.0,4990.0,3220.0,5234519.0,1.4569453284818101,0.039999999,0.30599999235,20.139522545508243
4,Finland,Western Europe,7.413,1.40598,1.13464,0.81091,0.57104,0.41004,0.25492,2.82596,FIN,81.4292682926829,19.648882439024387,45710.0,4470.0,4650.0,5495303.0,1.9231777732271913,0.0099999998,0.07649999847,19.50175934231497
5,Canada,North America,7.404,1.44015,1.0961,0.8276,0.5737,0.31329,0.44834,2.70485,CAN,81.9,19.688760000000002,550480.0,90490.0,40990.0,36109487.0,2.8058752531837357,0.1,0.7650000000000001,17.542265431314444
6,Netherlands,Western Europe,7.339,1.46468,1.02912,0.81231,0.55211,0.29927,0.47416,2.70749,NLD,81.5609756097561,19.077112195121956,158270.0,18830.0,8290.0,17030314.0,1.2259986396152454,0.50999999,3.9014999235,14.293878596451972
7,New Zealand,Australia and New Zealand,7.334,1.36066,1.17278,0.83096,0.58147,0.41904,0.49401,2.47553,NZL,81.6124390243903,19.048343268292694,31180.0,32810.0,14970.0,4714100.0,7.601430597026536,0.0,0.0,19.048343268292694
8,Australia,Australia and New Zealand,7.313,1.44443,1.10476,0.8512,0.56837,0.32331,0.47407,2.5465,AUS,82.4487804878049,19.07040292682927,383960.0,118280.0,57390.0,24190907.0,5.708327840973949,0.0,0.0,19.07040292682927
9,Sweden,Western Europe,7.291,1.45181,1.08764,0.83121,0.58218,0.40867,0.38254,2.54734,SWE,82.3073170731707,18.85660634146341,38790.0,4770.0,4960.0,9923085.0,1.129352762330157,0.039999999,0.30599999235,18.511024404829932
10,Israel,Middle East and Northern Africa,7.267,1.33766,0.99537,0.84917,0.36432,0.08728,0.32288,3.31029,ISR,82.4073170731707,18.6817387804878,65260.0,11730.0,2260.0,8546000.0,0.7916922314907874,0.55000001,4.2075000765,15.350693655925859
11,Austria,Western Europe,7.119,1.45038,1.08383,0.80565,0.54355,0.21348,0.32865,2.69343,AUT,81.6414634146342,17.299826097560985,63390.0,6800.0,3700.0,8736668.0,1.0353094467265997,0.63999999,4.8959999235,12.230951125588724
12,United States,North America,7.104,1.50796,1.04782,0.779,0.48163,0.14868,0.41077,2.72782,USA,78.5390243902439,16.52461073170732,4888640.0,609200.0,248510.0,323071755.0,1.9597453965511369,0.18000001,1.3770000765,13.82604117073588
13,Costa Rica,Latin America and Caribbean,7.087,1.06879,1.02152,0.76146,0.55225,0.10547,0.22553,3.35168,CRI,79.738,16.6413206,8080.0,4810.0,1960.0,4899336.0,0.9778029645358849,0.63,4.8195,11.928799212419303
14,Germany,Western Europe,6.994,1.44787,1.09774,0.81487,0.53466,0.28551,0.30452,2.50931,DEU,80.990243902439,16.149454634146338,747150.0,55520.0,35600.0,82348669.0,1.0510883537972746,0.55000001,4.2075000765,11.727000305136045
15,Brazil,Latin America and Caribbean,6.952,1.08754,1.03938,0.61415,0.40425,0.14166,0.15776,3.50733,BRA,75.23,14.684896000000002,441910.0,424800.0,176350.0,206163056.0,2.0760513679708392,0.55000001,4.2075000765,5.949909710444768
16,Belgium,Western Europe,6.929,1.42539,1.05249,0.81959,0.51354,0.26248,0.2424,2.61355,BEL,81.4390243902439,15.709587804878051,94320.0,8450.0,4490.0,11331422.0,0.981386323043109,0.56,4.284000000000001,11.505328796961372
17,Ireland,Western Europe,6.907,1.48341,1.16157,0.81455,0.54008,0.29754,0.44963,2.15988,IRL,81.6536585365854,15.571352682926836,38710.0,16490.0,9420.0,4755335.0,4.645942777777748,0.02,0.15300000000000002,14.86052343792684
18,Luxembourg,Western Europe,6.871,1.69752,1.03999,0.84542,0.5487,0.35329,0.27571,2.11055,LUX,82.6853658536585,15.470431951219508,8860.0,550.0,300.0,582014.0,1.3024922519802613,0.5,3.825,10.488399087395008
