,Country,Happiness Score,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Generosity,Trust (Government Corruption),Country Code,2018_lifeexp,NHLY,2018_co2,2018_ch4,2018_n2o,2018_pop,2018_extcostratio,2018_llpp_who,PCEC,ERHNI
0,Finland,7.632,1.305,1.592,0.874,0.681,0.202,0.393,FIN,81.7341463414634,21.512427317073165,44360.0,4240.0,4670.0,5515525.0,1.9272504145615095,0.029999999,0.22949999234999996,21.070123361674764
1,Norway,7.594,1.456,1.582,0.861,0.686,0.286,0.34,NOR,82.7585365853659,21.46756439024392,37350.0,4850.0,3190.0,5311916.0,1.4277825409291296,0.07,0.5355000000000001,20.70298683957637
2,Denmark,7.555,1.351,1.59,0.868,0.683,0.284,0.408,DNK,80.9536585365854,20.68365975609757,33380.0,7140.0,4740.0,5793636.0,1.9178460531194133,0.36000001,2.7540000765,15.401911579091482
3,Iceland,7.495,1.343,1.644,0.914,0.677,0.353,0.138,ISL,82.8609756097561,20.673813414634147,2200.0,530.0,400.0,352721.0,2.617578829424585,0.0,0.0,20.673813414634147
4,Switzerland,7.487,1.42,1.549,0.927,0.66,0.256,0.357,CHE,83.7536585365854,20.829534878048793,37480.0,4790.0,2140.0,8514329.0,0.6328525140788088,0.43000001,3.2895000765,18.747766484573333
5,Netherlands,7.441,1.361,1.488,0.878,0.638,0.333,0.295,NLD,81.8121951219512,19.970356829268287,151170.0,17260.0,7790.0,17231624.0,1.142586620528775,0.57999998,4.436999847,14.900700168797865
6,Canada,7.328,1.33,1.532,0.896,0.653,0.321,0.291,CAN,82.0487804878049,19.100956097560985,574400.0,93980.0,43120.0,37065084.0,2.886770327803367,0.14,1.0710000000000002,16.009225076483578
7,New Zealand,7.324,1.268,1.601,0.876,0.669,0.365,0.389,NZL,81.8585365853659,19.023923902439034,32210.0,32530.0,15040.0,4900600.0,7.377618810869249,0.0,0.0,19.023923902439034
8,Sweden,7.314,1.355,1.501,0.913,0.659,0.285,0.383,SWE,82.5585365853659,19.104045365853672,36000.0,4580.0,4920.0,10175214.0,1.0950758677059582,0.07,0.5355000000000001,18.517632238697132
9,Australia,7.272,1.34,1.573,0.91,0.647,0.361,0.302,AUS,82.7487804878049,18.800522926829274,386620.0,139070.0,76760.0,24982688.0,7.293548915049637,0.0,0.0,18.800522926829274
10,United Kingdom,7.19,1.244,1.433,0.888,0.464,0.262,0.082,GBR,81.2560975609756,17.795085365853662,358800.0,51210.0,28290.0,66460344.0,1.0322341269980035,0.34999999,2.6774999235,15.031278569782419
11,Austria,7.139,1.341,1.504,0.891,0.617,0.242,0.224,AUT,81.6926829268293,17.474064878048793,63180.0,6660.0,3620.0,8840521.0,1.0078185371483805,0.73000002,5.5845001530000005,11.845902103147425
12,Costa Rica,7.072,1.01,1.459,0.817,0.632,0.143,0.101,CRI,80.095,16.595684000000002,8260.0,4820.0,1940.0,4999443.0,0.9559613660804256,0.49000001,3.7485000765,13.012262746116482
13,Ireland,6.977,1.448,1.583,0.876,0.614,0.307,0.306,IRL,82.2048780487805,16.251904390243908,37110.0,16820.0,10060.0,4867316.0,4.8467523355730915,0.02,0.15300000000000002,15.510351282901224
14,Germany,6.965,1.34,1.474,0.861,0.586,0.273,0.28,DEU,80.8926829268293,15.895412195121956,709540.0,53370.0,32900.0,82905782.0,0.9754871737093297,0.56999999,4.3604999235,11.641800448787194
15,Belgium,6.927,1.324,1.483,0.894,0.583,0.188,0.24,BEL,81.5951219512195,15.723379999999995,93470.0,8200.0,4460.0,11427054.0,0.9697498943983413,0.56999999,4.3604999235,11.494785659661895
